id,url,FsF_A1_01M_1_earned,FsF_A1_01M_1_maturity,FsF_A1_01M_1_status,FsF_A1_01M_1_total,FsF_A1_01M_earned,FsF_A1_01M_maturity,FsF_A1_01M_status,FsF_A1_01M_total,FsF_A1_02MD_1_earned,FsF_A1_02MD_1_maturity,FsF_A1_02MD_1_status,FsF_A1_02MD_1_total,FsF_A1_02MD_2_earned,FsF_A1_02MD_2_maturity,FsF_A1_02MD_2_status,FsF_A1_02MD_2_total,FsF_A1_02MD_earned,FsF_A1_02MD_maturity,FsF_A1_02MD_status,FsF_A1_02MD_total,FsF_A1_1_01MD_1_earned,FsF_A1_1_01MD_1_maturity,FsF_A1_1_01MD_1_status,FsF_A1_1_01MD_1_total,FsF_A1_1_01MD_2_earned,FsF_A1_1_01MD_2_maturity,FsF_A1_1_01MD_2_status,FsF_A1_1_01MD_2_total,FsF_A1_1_01MD_earned,FsF_A1_1_01MD_maturity,FsF_A1_1_01MD_status,FsF_A1_1_01MD_total,FsF_A1_2_01MD_1_earned,FsF_A1_2_01MD_1_maturity,FsF_A1_2_01MD_1_status,FsF_A1_2_01MD_1_total,FsF_A1_2_01MD_2_earned,FsF_A1_2_01MD_2_maturity,FsF_A1_2_01MD_2_status,FsF_A1_2_01MD_2_total,FsF_A1_2_01MD_earned,FsF_A1_2_01MD_maturity,FsF_A1_2_01MD_status,FsF_A1_2_01MD_total,FsF_F1_01MD_1_earned,FsF_F1_01MD_1_maturity,FsF_F1_01MD_1_status,FsF_F1_01MD_1_total,FsF_F1_01MD_2_earned,FsF_F1_01MD_2_maturity,FsF_F1_01MD_2_status,FsF_F1_01MD_2_total,FsF_F1_01MD_earned,FsF_F1_01MD_maturity,FsF_F1_01MD_status,FsF_F1_01MD_total,FsF_F1_02MD_1_earned,FsF_F1_02MD_1_maturity,FsF_F1_02MD_1_status,FsF_F1_02MD_1_total,FsF_F1_02MD_2_earned,FsF_F1_02MD_2_maturity,FsF_F1_02MD_2_status,FsF_F1_02MD_2_total,FsF_F1_02MD_4_earned,FsF_F1_02MD_4_maturity,FsF_F1_02MD_4_status,FsF_F1_02MD_4_total,FsF_F1_02MD_5_earned,FsF_F1_02MD_5_maturity,FsF_F1_02MD_5_status,FsF_F1_02MD_5_total,FsF_F1_02MD_earned,FsF_F1_02MD_maturity,FsF_F1_02MD_status,FsF_F1_02MD_total,FsF_F2_01M_2_earned,FsF_F2_01M_2_maturity,FsF_F2_01M_2_status,FsF_F2_01M_2_total,FsF_F2_01M_3_earned,FsF_F2_01M_3_maturity,FsF_F2_01M_3_status,FsF_F2_01M_3_total,FsF_F2_01M_earned,FsF_F2_01M_maturity,FsF_F2_01M_status,FsF_F2_01M_total,FsF_F3_01M_2_earned,FsF_F3_01M_2_maturity,FsF_F3_01M_2_status,FsF_F3_01M_2_total,FsF_F3_01M_earned,FsF_F3_01M_maturity,FsF_F3_01M_status,FsF_F3_01M_total,FsF_F4_01M_1_earned,FsF_F4_01M_1_maturity,FsF_F4_01M_1_status,FsF_F4_01M_1_total,FsF_F4_01M_earned,FsF_F4_01M_maturity,FsF_F4_01M_status,FsF_F4_01M_total,FsF_I1_01M_1_earned,FsF_I1_01M_1_maturity,FsF_I1_01M_1_status,FsF_I1_01M_1_total,FsF_I1_01M_2_earned,FsF_I1_01M_2_maturity,FsF_I1_01M_2_status,FsF_I1_01M_2_total,FsF_I1_01M_earned,FsF_I1_01M_maturity,FsF_I1_01M_status,FsF_I1_01M_total,FsF_I2_01M_2_earned,FsF_I2_01M_2_maturity,FsF_I2_01M_2_status,FsF_I2_01M_2_total,FsF_I2_01M_earned,FsF_I2_01M_maturity,FsF_I2_01M_status,FsF_I2_01M_total,FsF_I3_01M_1_earned,FsF_I3_01M_1_maturity,FsF_I3_01M_1_status,FsF_I3_01M_1_total,FsF_I3_01M_2_earned,FsF_I3_01M_2_maturity,FsF_I3_01M_2_status,FsF_I3_01M_2_total,FsF_I3_01M_earned,FsF_I3_01M_maturity,FsF_I3_01M_status,FsF_I3_01M_total,FsF_R1_01M_1_earned,FsF_R1_01M_1_maturity,FsF_R1_01M_1_status,FsF_R1_01M_1_total,FsF_R1_01M_2_earned,FsF_R1_01M_2_maturity,FsF_R1_01M_2_status,FsF_R1_01M_2_total,FsF_R1_01M_3_earned,FsF_R1_01M_3_maturity,FsF_R1_01M_3_status,FsF_R1_01M_3_total,FsF_R1_01M_earned,FsF_R1_01M_maturity,FsF_R1_01M_status,FsF_R1_01M_total,FsF_R1_1_01M_1_earned,FsF_R1_1_01M_1_maturity,FsF_R1_1_01M_1_status,FsF_R1_1_01M_1_total,FsF_R1_1_01M_earned,FsF_R1_1_01M_maturity,FsF_R1_1_01M_status,FsF_R1_1_01M_total,FsF_R1_2_01M_1_earned,FsF_R1_2_01M_1_maturity,FsF_R1_2_01M_1_status,FsF_R1_2_01M_1_total,FsF_R1_2_01M_2_earned,FsF_R1_2_01M_2_maturity,FsF_R1_2_01M_2_status,FsF_R1_2_01M_2_total,FsF_R1_2_01M_earned,FsF_R1_2_01M_maturity,FsF_R1_2_01M_status,FsF_R1_2_01M_total,FsF_R1_3_01M_1_earned,FsF_R1_3_01M_1_maturity,FsF_R1_3_01M_1_status,FsF_R1_3_01M_1_total,FsF_R1_3_01M_3_earned,FsF_R1_3_01M_3_maturity,FsF_R1_3_01M_3_status,FsF_R1_3_01M_3_total,FsF_R1_3_01M_earned,FsF_R1_3_01M_maturity,FsF_R1_3_01M_status,FsF_R1_3_01M_total,FsF_R1_3_02D_1_earned,FsF_R1_3_02D_1_maturity,FsF_R1_3_02D_1_status,FsF_R1_3_02D_1_total,FsF_R1_3_02D_earned,FsF_R1_3_02D_maturity,FsF_R1_3_02D_status,FsF_R1_3_02D_total,maturity_A,maturity_A1,maturity_A1_1,maturity_A1_2,maturity_F,maturity_F1,maturity_F2,maturity_F3,maturity_F4,maturity_FAIR,maturity_I,maturity_I1,maturity_I2,maturity_I3,maturity_R,maturity_R1,maturity_R1_1,maturity_R1_2,maturity_R1_3,score_earned_A,score_earned_A1,score_earned_A1_1,score_earned_A1_2,score_earned_F,score_earned_F1,score_earned_F2,score_earned_F3,score_earned_F4,score_earned_FAIR,score_earned_I,score_earned_I1,score_earned_I2,score_earned_I3,score_earned_R,score_earned_R1,score_earned_R1_1,score_earned_R1_2,score_earned_R1_3,score_percent_A,score_percent_A1,score_percent_A1_1,score_percent_A1_2,score_percent_F,score_percent_F1,score_percent_F2,score_percent_F3,score_percent_F4,score_percent_FAIR,score_percent_I,score_percent_I1,score_percent_I2,score_percent_I3,score_percent_R,score_percent_R1,score_percent_R1_1,score_percent_R1_2,score_percent_R1_3,score_total_A,score_total_A1,score_total_A1_1,score_total_A1_2,score_total_F,score_total_F1,score_total_F2,score_total_F3,score_total_F4,score_total_FAIR,score_total_I,score_total_I1,score_total_I2,score_total_I3,score_total_R,score_total_R1,score_total_R1_1,score_total_R1_2,score_total_R1_3,status_passed_A,status_passed_A1,status_passed_A1_1,status_passed_A1_2,status_passed_F,status_passed_F1,status_passed_F2,status_passed_F3,status_passed_F4,status_passed_FAIR,status_passed_I,status_passed_I1,status_passed_I2,status_passed_I3,status_passed_R,status_passed_R1,status_passed_R1_1,status_passed_R1_2,status_passed_R1_3,status_total_A,status_total_A1,status_total_A1_1,status_total_A1_2,status_total_F,status_total_F1,status_total_F2,status_total_F3,status_total_F4,status_total_FAIR,status_total_I,status_total_I1,status_total_I2,status_total_I3,status_total_R,status_total_R1,status_total_R1_1,status_total_R1_2,status_total_R1_3
twc-logd,https://lod-cloud.net/dataset/twc-logd,0,0,fail,1,0,0,fail,1,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,0,1,3,pass,1,0,0,fail,0.5,0,0,fail,0.5,0,0,fail,0,0,0,fail,0,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,2,0,0,fail,1,0,0,fail,1,0,0,fail,2,0,0,fail,2,0,0,fail,2,2,3,pass,2,2,3,pass,2,2,3,pass,2,2,3,pass,2,0,0,fail,2,0,0,fail,2,0,0,fail,2,1,1,pass,1,0,0,fail,1,0,0,fail,0,1,1,pass,2,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,1,1,pass,1,1,1,pass,1,0,0,fail,1,0,0,fail,1,2,2,3,3,1,2,0,0,0,1.5,2,3,3,0,1,1,0,0,1,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1,42.86,33.33,50.0,50.0,14.29,50.0,0.0,0.0,0.0,38.46,66.67,100.0,100.0,0.0,33.33,50.0,0.0,0.0,50.0,7,3,2,2,7,2,2,1,2,26.0,6,2,2,2,6,2,1,1,2,3,1,1,1,1,1,0,0,0,8,2,1,1,0,2,1,0,0,1,4,2,1,1,5,2,1,1,1,17,3,1,1,1,5,1,1,1,2
opendatacommunities-households-social-lettings-general-needs-lettings-prp-household-composition,https://lod-cloud.net/dataset/opendatacommunities-households-social-lettings-general-needs-lettings-prp-household-composition,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,2,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,0,1,3,pass,1,0,0,fail,0.5,0,0,fail,0.5,0,0,fail,0,0,0,fail,0,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,2,0,0,fail,1,0,0,fail,1,0,0,fail,2,0,0,fail,2,0,0,fail,2,0,0,fail,2,0,0,fail,2,0,0,fail,2,0,0,fail,2,0,0,fail,2,0,0,fail,2,0,0,fail,2,0,0,fail,1,0,0,fail,1,0,0,fail,0,0,0,fail,2,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,2,0,3,3,1,2,0,0,0,1.0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,0,0,0,3.0,0,0,0,0,0,0,0,0,0,28.57,0.0,50.0,50.0,14.29,50.0,0.0,0.0,0.0,11.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3,2,2,7,2,2,1,2,26.0,6,2,2,2,6,2,1,1,2,2,0,1,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,4,2,1,1,5,2,1,1,1,17,3,1,1,1,5,1,1,1,2
eumida-linked-data,https://lod-cloud.net/dataset/eumida-linked-data,0,0,fail,1,0,0,fail,1,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,0,1,3,pass,1,0,0,fail,0.5,0,0,fail,0.5,0,0,fail,0,0,0,fail,0,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,2,0,0,fail,1,0,0,fail,1,0,0,fail,2,0,0,fail,2,0,0,fail,2,2,3,pass,2,2,3,pass,2,2,3,pass,2,2,3,pass,2,0,0,fail,2,0,0,fail,2,0,0,fail,2,1,1,pass,1,0,0,fail,1,0,0,fail,0,1,1,pass,2,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,1,1,pass,1,1,1,pass,1,0,0,fail,1,0,0,fail,1,2,2,3,3,1,2,0,0,0,1.5,2,3,3,0,1,1,0,0,1,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1,42.86,33.33,50.0,50.0,14.29,50.0,0.0,0.0,0.0,38.46,66.67,100.0,100.0,0.0,33.33,50.0,0.0,0.0,50.0,7,3,2,2,7,2,2,1,2,26.0,6,2,2,2,6,2,1,1,2,3,1,1,1,1,1,0,0,0,8,2,1,1,0,2,1,0,0,1,4,2,1,1,5,2,1,1,1,17,3,1,1,1,5,1,1,1,2
asn-us,https://lod-cloud.net/dataset/asn-us,0,0,fail,1,0,0,fail,1,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,0,1,3,pass,1,0,0,fail,0.5,0,0,fail,0.5,0,0,fail,0,0,0,fail,0,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,2,0,0,fail,1,0,0,fail,1,0,0,fail,2,0,0,fail,2,0,0,fail,2,2,3,pass,2,2,3,pass,2,2,3,pass,2,2,3,pass,2,0,0,fail,2,0,0,fail,2,0,0,fail,2,1,1,pass,1,0,0,fail,1,0,0,fail,0,1,1,pass,2,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,1,1,pass,1,1,1,pass,1,0,0,fail,1,0,0,fail,1,2,2,3,3,1,2,0,0,0,1.5,2,3,3,0,1,1,0,0,1,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1,42.86,33.33,50.0,50.0,14.29,50.0,0.0,0.0,0.0,38.46,66.67,100.0,100.0,0.0,33.33,50.0,0.0,0.0,50.0,7,3,2,2,7,2,2,1,2,26.0,6,2,2,2,6,2,1,1,2,3,1,1,1,1,1,0,0,0,8,2,1,1,0,2,1,0,0,1,4,2,1,1,5,2,1,1,1,17,3,1,1,1,5,1,1,1,2
cz-sao-check-actions,https://lod-cloud.net/dataset/cz-sao-check-actions,0,0,fail,1,0,0,fail,1,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,0,1,3,pass,1,0,0,fail,0.5,0,0,fail,0.5,0,0,fail,0,0,0,fail,0,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,2,0,0,fail,1,0,0,fail,1,0,0,fail,2,0,0,fail,2,0,0,fail,2,2,3,pass,2,2,3,pass,2,2,3,pass,2,2,3,pass,2,0,0,fail,2,0,0,fail,2,0,0,fail,2,1,1,pass,1,0,0,fail,1,0,0,fail,0,1,1,pass,2,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,1,1,pass,1,1,1,pass,1,0,0,fail,1,0,0,fail,1,2,2,3,3,1,2,0,0,0,1.5,2,3,3,0,1,1,0,0,1,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1,42.86,33.33,50.0,50.0,14.29,50.0,0.0,0.0,0.0,38.46,66.67,100.0,100.0,0.0,33.33,50.0,0.0,0.0,50.0,7,3,2,2,7,2,2,1,2,26.0,6,2,2,2,6,2,1,1,2,3,1,1,1,1,1,0,0,0,8,2,1,1,0,2,1,0,0,1,4,2,1,1,5,2,1,1,1,17,3,1,1,1,5,1,1,1,2
opendatacommunities-households-social-lettings-general-needs-lettings-prp-number-bedrooms,https://lod-cloud.net/dataset/opendatacommunities-households-social-lettings-general-needs-lettings-prp-number-bedrooms,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,2,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,0,1,3,pass,1,0,0,fail,0.5,0,0,fail,0.5,0,0,fail,0,0,0,fail,0,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,2,0,0,fail,1,0,0,fail,1,0,0,fail,2,0,0,fail,2,0,0,fail,2,0,0,fail,2,0,0,fail,2,0,0,fail,2,0,0,fail,2,0,0,fail,2,0,0,fail,2,0,0,fail,2,0,0,fail,1,0,0,fail,1,0,0,fail,0,0,0,fail,2,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,2,0,3,3,1,2,0,0,0,1.0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,0,0,0,3.0,0,0,0,0,0,0,0,0,0,28.57,0.0,50.0,50.0,14.29,50.0,0.0,0.0,0.0,11.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3,2,2,7,2,2,1,2,26.0,6,2,2,2,6,2,1,1,2,2,0,1,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,4,2,1,1,5,2,1,1,1,17,3,1,1,1,5,1,1,1,2
opendatacommunities-imd-crime-rank-2010,https://lod-cloud.net/dataset/opendatacommunities-imd-crime-rank-2010,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,2,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,0,1,3,pass,1,0,0,fail,0.5,0,0,fail,0.5,0,0,fail,0,0,0,fail,0,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,2,0,0,fail,1,0,0,fail,1,0,0,fail,2,0,0,fail,2,0,0,fail,2,0,0,fail,2,0,0,fail,2,0,0,fail,2,0,0,fail,2,0,0,fail,2,0,0,fail,2,0,0,fail,2,0,0,fail,1,0,0,fail,1,0,0,fail,0,0,0,fail,2,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,2,0,3,3,1,2,0,0,0,1.0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,0,0,0,3.0,0,0,0,0,0,0,0,0,0,28.57,0.0,50.0,50.0,14.29,50.0,0.0,0.0,0.0,11.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3,2,2,7,2,2,1,2,26.0,6,2,2,2,6,2,1,1,2,2,0,1,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,4,2,1,1,5,2,1,1,1,17,3,1,1,1,5,1,1,1,2
cz-ares-rzp,https://lod-cloud.net/dataset/cz-ares-rzp,0,0,fail,1,0,0,fail,1,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,0,1,3,pass,1,0,0,fail,0.5,0,0,fail,0.5,0,0,fail,0,0,0,fail,0,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,2,0,0,fail,1,0,0,fail,1,0,0,fail,2,0,0,fail,2,0,0,fail,2,2,3,pass,2,2,3,pass,2,2,3,pass,2,2,3,pass,2,0,0,fail,2,0,0,fail,2,0,0,fail,2,1,1,pass,1,0,0,fail,1,0,0,fail,0,1,1,pass,2,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,1,1,pass,1,1,1,pass,1,0,0,fail,1,0,0,fail,1,2,2,3,3,1,2,0,0,0,1.5,2,3,3,0,1,1,0,0,1,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1,42.86,33.33,50.0,50.0,14.29,50.0,0.0,0.0,0.0,38.46,66.67,100.0,100.0,0.0,33.33,50.0,0.0,0.0,50.0,7,3,2,2,7,2,2,1,2,26.0,6,2,2,2,6,2,1,1,2,3,1,1,1,1,1,0,0,0,8,2,1,1,0,2,1,0,0,1,4,2,1,1,5,2,1,1,1,17,3,1,1,1,5,1,1,1,2
cz-sao-check-actions-law,https://lod-cloud.net/dataset/cz-sao-check-actions-law,0,0,fail,1,0,0,fail,1,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,0,1,3,pass,1,0,0,fail,0.5,0,0,fail,0.5,0,0,fail,0,0,0,fail,0,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,2,0,0,fail,1,0,0,fail,1,0,0,fail,2,0,0,fail,2,0,0,fail,2,2,3,pass,2,2,3,pass,2,2,3,pass,2,2,3,pass,2,0,0,fail,2,0,0,fail,2,0,0,fail,2,1,1,pass,1,0,0,fail,1,0,0,fail,0,1,1,pass,2,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,1,1,pass,1,1,1,pass,1,0,0,fail,1,0,0,fail,1,2,2,3,3,1,2,0,0,0,1.5,2,3,3,0,1,1,0,0,1,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1,42.86,33.33,50.0,50.0,14.29,50.0,0.0,0.0,0.0,38.46,66.67,100.0,100.0,0.0,33.33,50.0,0.0,0.0,50.0,7,3,2,2,7,2,2,1,2,26.0,6,2,2,2,6,2,1,1,2,3,1,1,1,1,1,0,0,0,8,2,1,1,0,2,1,0,0,1,4,2,1,1,5,2,1,1,1,17,3,1,1,1,5,1,1,1,2
traffic-scotland,https://lod-cloud.net/dataset/traffic-scotland,0,0,fail,1,0,0,fail,1,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,0,1,3,pass,1,0,0,fail,0.5,0,0,fail,0.5,0,0,fail,0,0,0,fail,0,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,2,0,0,fail,1,0,0,fail,1,0,0,fail,2,0,0,fail,2,0,0,fail,2,2,3,pass,2,2,3,pass,2,2,3,pass,2,2,3,pass,2,0,0,fail,2,0,0,fail,2,0,0,fail,2,1,1,pass,1,0,0,fail,1,0,0,fail,0,1,1,pass,2,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,1,1,pass,1,1,1,pass,1,0,0,fail,1,0,0,fail,1,2,2,3,3,1,2,0,0,0,1.5,2,3,3,0,1,1,0,0,1,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1,42.86,33.33,50.0,50.0,14.29,50.0,0.0,0.0,0.0,38.46,66.67,100.0,100.0,0.0,33.33,50.0,0.0,0.0,50.0,7,3,2,2,7,2,2,1,2,26.0,6,2,2,2,6,2,1,1,2,3,1,1,1,1,1,0,0,0,8,2,1,1,0,2,1,0,0,1,4,2,1,1,5,2,1,1,1,17,3,1,1,1,5,1,1,1,2
rkb-explorer-cordis,https://lod-cloud.net/dataset/rkb-explorer-cordis,0,0,fail,1,0,0,fail,1,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,0,1,3,pass,1,0,0,fail,0.5,0,0,fail,0.5,0,0,fail,0,0,0,fail,0,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,2,0,0,fail,1,0,0,fail,1,0,0,fail,2,0,0,fail,2,0,0,fail,2,2,3,pass,2,2,3,pass,2,2,3,pass,2,2,3,pass,2,0,0,fail,2,0,0,fail,2,0,0,fail,2,1,1,pass,1,0,0,fail,1,0,0,fail,0,1,1,pass,2,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,1,1,pass,1,1,1,pass,1,0,0,fail,1,0,0,fail,1,2,2,3,3,1,2,0,0,0,1.5,2,3,3,0,1,1,0,0,1,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1,42.86,33.33,50.0,50.0,14.29,50.0,0.0,0.0,0.0,38.46,66.67,100.0,100.0,0.0,33.33,50.0,0.0,0.0,50.0,7,3,2,2,7,2,2,1,2,26.0,6,2,2,2,6,2,1,1,2,3,1,1,1,1,1,0,0,0,8,2,1,1,0,2,1,0,0,1,4,2,1,1,5,2,1,1,1,17,3,1,1,1,5,1,1,1,2
data-cnr-it,https://lod-cloud.net/dataset/data-cnr-it,0,0,fail,1,0,0,fail,1,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,0,1,3,pass,1,0,0,fail,0.5,0,0,fail,0.5,0,0,fail,0,0,0,fail,0,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,2,0,0,fail,1,0,0,fail,1,0,0,fail,2,0,0,fail,2,0,0,fail,2,2,3,pass,2,2,3,pass,2,2,3,pass,2,2,3,pass,2,0,0,fail,2,0,0,fail,2,0,0,fail,2,1,1,pass,1,0,0,fail,1,0,0,fail,0,1,1,pass,2,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,1,1,pass,1,1,1,pass,1,0,0,fail,1,0,0,fail,1,2,2,3,3,1,2,0,0,0,1.5,2,3,3,0,1,1,0,0,1,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1,42.86,33.33,50.0,50.0,14.29,50.0,0.0,0.0,0.0,38.46,66.67,100.0,100.0,0.0,33.33,50.0,0.0,0.0,50.0,7,3,2,2,7,2,2,1,2,26.0,6,2,2,2,6,2,1,1,2,3,1,1,1,1,1,0,0,0,8,2,1,1,0,2,1,0,0,1,4,2,1,1,5,2,1,1,1,17,3,1,1,1,5,1,1,1,2
eurovoc,https://lod-cloud.net/dataset/eurovoc,0,0,fail,1,0,0,fail,1,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,1,1,3,pass,2,1,3,pass,1,0,0,fail,0,1,3,pass,1,0,0,fail,0.5,0,0,fail,0.5,0,0,fail,0,0,0,fail,0,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,2,0,0,fail,1,0,0,fail,1,0,0,fail,2,0,0,fail,2,0,0,fail,2,2,3,pass,2,2,3,pass,2,2,3,pass,2,2,3,pass,2,0,0,fail,2,0,0,fail,2,0,0,fail,2,1,1,pass,1,0,0,fail,1,0,0,fail,0,1,1,pass,2,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,0,0,fail,1,1,1,pass,1,1,1,pass,1,0,0,fail,1,0,0,fail,1,2,2,3,3,1,2,0,0,0,1.5,2,3,3,0,1,1,0,0,1,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1,42.86,33.33,50.0,50.0,14.29,50.0,0.0,0.0,0.0,38.46,66.67,100.0,100.0,0.0,33.33,50.0,0.0,0.0,50.0,7,3,2,2,7,2,2,1,2,26.0,6,2,2,2,6,2,1,1,2,3,1,1,1,1,1,0,0,0,8,2,1,1,0,2,1,0,0,1,4,2,1,1,5,2,1,1,1,17,3,1,1,1,5,1,1,1,2
